Serial Number,Chinese Full Name,English Name,Geological time,Other names,Notes,location,location,location,location,location,location,location,location,location,location,location,location,location,location,location,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
130014,鸿门(岩)组,Hongmen Fm,Ar3,铁磐段,,shanxi,,,,,,,,,,,,,,,细碧岩,片岩,石英岩,磁铁石英岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130015,后山村组,Houshancun Fm,Ar3,,,shanxi,,,,,,,,,,,,,,,石英岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130016,滑车岭组,Huacheling Fm,Ar3,雷家湾组,,shanxi,,,,,,,,,,,,,,,片岩,浅粒岩,变粒岩,黑云变粒岩,角闪岩,斜长角闪岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130017,集宁(岩)群,Jining Gr,Ar3,,,Inner Mongolia,,,,,,,,,,,,,,,砂岩,长石石英岩,泥质砂岩,粘土,碳酸盐岩,片岩,片麻岩,石墨片岩,斜长片麻岩,黑云斜长片麻岩,变粒岩,角闪岩,斜长角闪岩,麻粒岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130018,夹皮沟(岩)群,Jiapigou Gr,Ar3,,,jilin,,,,,,,,,,,,,,,片岩,片麻岩,石英片岩,铁英岩,变粒岩,黑云斜长变粒岩,角闪岩,斜长角闪岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130019,建平(岩)群,Jianping Gr,Ar3,凌源群,,liaoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130020,绛县群,Jiangxian Gr,Ar3,,,shanxi,,,,,,,,,,,,,,,角闪石岩,流纹岩,熔结凝灰岩,流纹质凝灰岩,碎屑岩,砾岩,底砾岩,砂岩,石英砂岩,泥岩,片岩,绿片岩,石英片岩,石英岩,角闪岩,斜长角闪岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130021,胶东(岩)群,Jiaodongyan Gr,Ar3,,,shandong,,,,,,,,,,,,,,,花岗岩,石英岩,磁铁石英岩,变粒岩,黑云变粒岩,黑云斜长变粒岩,角闪岩,斜长角闪岩,麻粒岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130022,金凤岭(岩)组,Jinfengling Fm,Ar3,金凤岭段,,liaoning,jilin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130023,金岗库组,Jingangku Fm,Ar3,,,shanxi,,,,,,,,,,,,,,,片岩,石英片岩,石英岩,磁铁石英岩,变粒岩,黑云变粒岩,角闪变粒岩,角闪岩,斜长角闪岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
